epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.19576,0.695,0.4,1,0.67574,3.334e-05,3.334e-05,3.334e-05
2,8.87845,0.63546,0.6,1,0.66392,8.23185e-05,8.23185e-05,8.23185e-05
3,9.79303,0.66964,0.8,1,0.6592,0.000130059,0.000130059,0.000130059
4,11.2474,0.67348,0.8,1,0.62862,0.000176562,0.000176562,0.000176562
5,12.2227,0.59093,0.8,1,0.60812,0.000221828,0.000221828,0.000221828
6,13.2537,0.54902,1,1,0.56802,0.000265855,0.000265855,0.000265855
7,14.1705,0.47437,1,1,0.5393,0.000308645,0.000308645,0.000308645
8,15.4714,0.45085,1,1,0.51333,0.000350197,0.000350197,0.000350197
9,16.4463,0.37687,1,1,0.47017,0.000390511,0.000390511,0.000390511
10,17.3807,0.32912,0.8,1,0.45868,0.000429588,0.000429588,0.000429588
11,18.2906,0.26196,0.8,1,0.42338,0.000467427,0.000467427,0.000467427
12,19.1797,0.21954,0.8,1,0.37695,0.000504028,0.000504028,0.000504028
13,20.0434,0.18496,0.8,1,0.3171,0.000539391,0.000539391,0.000539391
14,20.9162,0.13483,1,1,0.24612,0.000573517,0.000573517,0.000573517
15,21.7867,0.2572,1,1,0.24612,0.000606405,0.000606405,0.000606405
16,24.0967,0.06401,1,1,0.1859,0.000638055,0.000638055,0.000638055
17,25.1035,0.0904,1,1,0.1237,0.000668467,0.000668467,0.000668467
18,26.2787,0.05173,1,1,0.1237,0.000697642,0.000697642,0.000697642
19,27.2481,0.0623,1,1,0.08352,0.000725578,0.000725578,0.000725578
20,28.2785,0.03619,1,1,0.0505,0.000752278,0.000752278,0.000752278
21,29.3046,0.02626,1,1,0.0505,0.000777739,0.000777739,0.000777739
22,30.3034,0.00795,1,1,0.02948,0.000801962,0.000801962,0.000801962
23,31.2197,0.08243,1,1,0.02948,0.000824948,0.000824948,0.000824948
24,32.1665,0.01569,1,1,0.01552,0.000846696,0.000846696,0.000846696
25,33.1203,0.02533,1,1,0.01552,0.000867207,0.000867207,0.000867207
26,34.1438,0.04489,1,1,0.01106,0.000886479,0.000886479,0.000886479
27,35.0649,0.09049,1,1,0.01106,0.000904514,0.000904514,0.000904514
28,35.9996,0.0235,1,1,0.01028,0.000921311,0.000921311,0.000921311
29,36.9386,0.00198,1,1,0.01028,0.000936871,0.000936871,0.000936871
30,37.8932,0.04088,1,1,0.01028,0.000951192,0.000951192,0.000951192
31,38.931,0.02599,1,1,0.0119,0.000964276,0.000964276,0.000964276
32,39.894,0.074,1,1,0.0119,0.000976122,0.000976122,0.000976122
33,40.8174,0.01261,1,1,0.01323,0.000986731,0.000986731,0.000986731
34,41.7334,0.00323,1,1,0.01323,0.000986239,0.000986239,0.000986239
35,42.638,0.01345,1,1,0.01323,0.00096561,0.00096561,0.00096561
36,43.6974,0.01061,1,1,0.0138,0.000944981,0.000944981,0.000944981
37,44.6088,0.11443,1,1,0.0138,0.000924352,0.000924352,0.000924352
38,45.6338,0.0026,1,1,0.0138,0.000903722,0.000903722,0.000903722
39,46.6992,0.0958,1,1,0.02464,0.000883093,0.000883093,0.000883093
40,47.6326,0.00744,1,1,0.02464,0.000862464,0.000862464,0.000862464
41,48.8645,0.00993,1,1,0.10634,0.000841835,0.000841835,0.000841835
