epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
42,49.7856,0.01565,1,1,0.10634,0.000821206,0.000821206,0.000821206
43,50.7545,0.01935,1,1,0.10634,0.000800577,0.000800577,0.000800577
44,52.0444,0.0009,1,1,0.12507,0.000779948,0.000779948,0.000779948
45,54.0546,0.00105,1,1,0.12507,0.000759318,0.000759318,0.000759318
46,55.0077,0.13498,1,1,0.12507,0.000738689,0.000738689,0.000738689
47,55.9749,0.297,1,1,0.12109,0.00071806,0.00071806,0.00071806
48,56.8639,0.00435,1,1,0.12109,0.000697431,0.000697431,0.000697431
49,57.8397,0.00203,1,1,0.04998,0.000676802,0.000676802,0.000676802
50,58.9559,0.00539,1,1,0.04998,0.000656173,0.000656173,0.000656173
51,59.8689,0.00269,1,1,0.04998,0.000635544,0.000635544,0.000635544
52,60.773,0.00459,1,1,0.02586,0.000614915,0.000614915,0.000614915
53,61.7051,0.00083,1,1,0.02586,0.000594286,0.000594286,0.000594286
54,62.6179,0.00502,1,1,0.02586,0.000573656,0.000573656,0.000573656
55,63.7517,0.00258,1,1,0.01439,0.000553027,0.000553027,0.000553027
56,64.7628,0.00887,1,1,0.01439,0.000532398,0.000532398,0.000532398
57,65.7026,0.00337,1,1,0.01956,0.000511769,0.000511769,0.000511769
58,66.6282,0.00479,1,1,0.01956,0.00049114,0.00049114,0.00049114
59,67.523,0.00069,1,1,0.01956,0.000470511,0.000470511,0.000470511
60,68.502,0.12991,1,1,0.01358,0.000449882,0.000449882,0.000449882
61,69.5015,0.00989,1,1,0.01358,0.000429253,0.000429253,0.000429253
62,70.4158,0.0195,1,1,0.01358,0.000408623,0.000408623,0.000408623
63,71.3555,0.00136,1,1,0.00925,0.000387994,0.000387994,0.000387994
64,72.2559,0.00174,1,1,0.00925,0.000367365,0.000367365,0.000367365
65,74.2515,0.00511,1,1,0.00441,0.000346736,0.000346736,0.000346736
66,75.3048,0.00095,1,1,0.00441,0.000326107,0.000326107,0.000326107
67,76.259,0.00536,1,1,0.00441,0.000305478,0.000305478,0.000305478
68,77.4019,0.00418,1,1,0.00455,0.000284849,0.000284849,0.000284849
69,78.3543,0.00434,1,1,0.00455,0.00026422,0.00026422,0.00026422
70,79.3182,0.00573,1,1,0.00455,0.00024359,0.00024359,0.00024359
71,80.352,0.03513,1,1,0.00358,0.000222961,0.000222961,0.000222961
72,81.405,0.00216,1,1,0.00358,0.000202332,0.000202332,0.000202332
73,82.3968,0.00523,1,1,0.0043,0.000181703,0.000181703,0.000181703
74,83.7205,0.0072,1,1,0.0043,0.000161074,0.000161074,0.000161074
75,85.2622,0.0069,1,1,0.0043,0.000140445,0.000140445,0.000140445
76,86.2535,0.00646,1,1,0.00389,0.000119816,0.000119816,0.000119816
77,87.1389,0.00094,1,1,0.00389,9.91865e-05,9.91865e-05,9.91865e-05
78,88.1277,0.00861,1,1,0.00389,7.85574e-05,7.85574e-05,7.85574e-05
79,89.2086,0.01585,1,1,0.00359,5.79283e-05,5.79283e-05,5.79283e-05
80,90.2722,0.0185,1,1,0.00359,3.72991e-05,3.72991e-05,3.72991e-05
